age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, income
28,12,69621,31,12,2,32,4,5,20,0,0,60,7,<=50K
24,12,43323,13,9,2,25,4,5,20,0,1762,40,7,<=50K
38,8,120985,13,9,9,34,11,5,6,4386,0,35,7,<=50K
37,12,254202,1,13,9,32,11,5,6,0,0,50,7,<=50K
46,12,146195,31,12,14,46,4,17,20,0,0,36,7,<=50K
38,45,125933,22,14,9,18,11,5,6,0,0,40,62,>50K
43,8,56920,13,9,9,34,11,5,6,0,0,60,7,<=50K
27,12,163127,33,11,9,3,19,5,20,0,0,35,7,<=50K
20,12,34310,27,10,2,32,30,5,6,0,0,20,7,<=50K
49,12,81973,27,10,9,34,11,28,6,0,0,40,7,>50K
61,55,66614,13,9,9,34,11,5,6,0,0,40,7,<=50K
27,12,232782,27,10,2,32,30,5,20,0,0,40,7,<=50K
19,12,316868,27,10,2,25,30,5,6,0,0,30,39,<=50K
45,12,196584,33,11,2,18,4,5,20,0,1564,40,7,>50K
70,12,105376,27,10,2,46,57,5,6,0,0,40,7,<=50K
31,12,185814,13,9,2,37,42,17,20,0,0,30,7,<=50K
22,12,175374,27,10,9,25,11,5,6,0,0,24,7,<=50K
36,12,108293,13,9,63,25,42,5,20,0,0,24,7,<=50K
64,12,181232,16,7,9,34,11,5,6,0,2179,40,7,<=50K
43,35,174662,27,10,14,35,4,5,20,0,0,40,7,<=50K
47,47,186009,27,10,14,3,42,5,20,0,0,38,39,<=50K
34,12,198183,13,9,2,3,4,5,20,0,0,40,7,<=50K
33,12,163003,1,13,2,10,57,28,20,0,0,40,64,<=50K
21,12,296158,13,9,2,34,30,5,6,0,0,35,7,<=50K
52,35,252903,13,9,14,35,4,5,6,0,0,45,7,>50K
48,12,187715,13,9,9,34,11,5,6,0,0,46,7,<=50K
23,12,214542,1,13,2,15,4,5,6,0,0,40,7,<=50K
71,8,494223,27,10,44,32,42,17,6,0,1816,2,7,<=50K
29,12,191535,13,9,14,34,4,5,6,0,0,60,7,<=50K
42,12,228456,1,13,44,25,57,17,6,0,0,50,7,<=50K
68,35,38317,65,2,14,35,4,5,20,0,0,20,7,<=50K
25,12,252752,13,9,2,25,42,5,20,0,0,40,7,<=50K
44,55,78374,22,14,14,10,42,28,20,0,0,40,7,<=50K
28,12,88419,13,9,2,10,4,28,20,0,0,40,59,<=50K
45,8,201080,22,14,9,32,11,5,6,0,0,40,7,>50K
36,12,207157,27,10,14,25,42,5,20,0,0,40,39,<=50K
39,45,235485,31,12,2,10,4,5,6,0,0,42,7,<=50K
46,0,102628,22,14,63,49,42,5,6,0,0,40,7,<=50K
18,12,25828,16,7,2,15,30,5,6,0,0,16,7,<=50K
66,47,54826,33,11,63,18,4,5,20,0,0,20,7,<=50K
27,12,124953,13,9,2,25,4,5,6,0,1980,40,7,<=50K
28,0,175325,13,9,9,49,11,5,6,0,0,40,7,<=50K
51,12,96062,27,10,9,32,11,5,6,0,1977,40,7,>50K
27,12,428030,1,13,2,34,4,5,6,0,0,50,7,<=50K
28,0,149624,1,13,9,18,11,5,6,0,0,40,7,>50K
27,12,253814,13,9,24,32,42,5,20,0,0,25,7,<=50K
21,12,312956,13,9,2,34,30,17,6,0,0,40,7,<=50K
34,12,483777,13,9,2,15,4,17,6,0,0,40,7,<=50K
18,12,183930,13,9,2,25,30,5,6,0,0,12,7,<=50K
33,12,37274,1,13,9,18,11,5,6,0,0,65,7,<=50K
44,47,181344,27,10,9,10,11,17,6,0,0,38,7,>50K
43,12,114580,27,10,14,3,4,5,20,0,0,40,7,<=50K
30,12,633742,27,10,2,34,4,17,6,0,0,45,7,<=50K
40,12,286370,36,4,9,41,11,5,6,0,0,40,39,>50K
37,45,29054,27,10,9,3,11,5,6,0,0,42,7,>50K
34,12,304030,13,9,9,3,11,17,6,0,0,40,7,<=50K
41,8,143129,1,13,14,10,4,5,20,0,0,40,7,<=50K
53,35,135105,1,13,14,35,4,5,20,0,0,50,7,<=50K
31,12,99928,22,14,9,18,19,5,20,0,0,50,7,<=50K
58,0,109567,43,16,9,18,11,5,6,0,0,1,7,>50K
38,12,155222,27,10,14,41,4,17,20,0,0,28,7,<=50K
24,12,159567,27,10,9,41,11,5,6,0,0,40,7,<=50K
41,47,523910,1,13,9,34,11,17,6,0,0,40,7,<=50K
47,12,120939,27,10,9,46,11,5,6,0,0,45,7,<=50K
41,45,130760,1,13,9,46,11,5,6,0,0,24,7,<=50K
23,12,197387,56,3,9,37,57,5,6,0,0,40,39,<=50K
36,12,99374,27,10,14,34,4,5,6,0,0,40,7,<=50K
40,45,56795,22,14,2,10,4,5,20,14084,0,55,7,>50K
35,12,138992,22,14,9,18,57,5,6,7298,0,40,7,>50K
24,8,32921,13,9,2,32,4,5,6,0,0,40,7,<=50K
26,12,397317,22,14,2,18,4,5,20,0,1876,40,7,<=50K
19,35,170653,13,9,2,35,30,5,6,0,0,40,66,<=50K
51,12,259323,1,13,9,10,11,5,6,0,0,50,7,>50K
42,47,254817,27,10,2,18,4,5,20,0,1340,40,7,<=50K
37,0,48211,13,9,14,3,42,5,20,0,0,35,7,<=50K
18,12,140164,16,7,2,32,30,5,20,0,0,40,7,<=50K
36,12,128757,1,13,9,25,11,17,6,7298,0,36,7,>50K
35,12,36270,13,9,14,34,4,5,6,0,0,60,7,<=50K
58,55,210563,13,9,9,32,19,5,20,15024,0,35,7,>50K
17,12,65368,16,7,2,32,30,5,20,0,0,12,7,<=50K
44,47,160943,13,9,9,37,11,17,6,0,0,40,7,<=50K
37,12,208358,13,9,9,34,11,5,6,0,0,40,7,>50K
35,12,153790,27,10,2,32,4,38,20,0,0,40,7,<=50K
60,12,85815,13,9,9,34,11,28,6,0,0,40,7,<=50K
54,55,125417,36,4,9,41,11,5,6,0,0,40,7,>50K
37,12,635913,1,13,2,10,4,17,6,0,0,60,7,>50K
50,12,313321,31,12,14,32,4,5,20,0,0,40,7,<=50K
38,12,182609,1,13,9,32,11,5,6,0,0,50,67,<=50K
45,12,109434,1,13,9,18,11,5,6,0,0,55,7,<=50K
25,12,255004,58,6,2,34,4,5,6,0,0,40,7,<=50K
31,12,197860,27,10,9,15,11,5,6,0,0,40,7,<=50K
64,35,187656,65,2,14,35,4,5,6,0,0,40,7,<=50K
90,12,51744,13,9,2,25,4,17,6,0,2206,40,7,<=50K
54,12,176681,13,9,9,3,11,17,6,0,0,20,7,<=50K
53,47,140359,68,1,2,41,4,5,20,0,0,35,7,<=50K
18,12,243313,13,9,2,32,30,5,20,0,0,40,7,<=50K
60,35,24215,58,6,14,35,4,38,20,0,0,10,7,<=50K
66,8,167687,13,9,9,40,11,5,6,1409,0,50,7,<=50K
75,12,314209,33,11,63,3,4,5,20,0,0,20,69,<=50K
65,12,176796,13,9,14,3,4,5,20,0,0,40,7,<=50K
35,12,538583,16,7,44,37,4,17,6,3674,0,40,7,<=50K
41,12,130408,13,9,14,32,42,17,20,0,0,38,7,<=50K
25,12,159732,27,10,2,3,4,5,6,0,0,42,7,<=50K
33,12,110978,27,10,14,34,57,52,20,0,0,40,7,<=50K
28,12,76714,53,15,2,18,4,5,6,0,0,55,7,>50K
59,0,268700,13,9,9,25,11,5,6,0,0,40,7,<=50K
40,0,170525,27,10,2,3,4,5,20,0,0,38,7,<=50K
41,12,180138,1,13,9,10,11,5,6,0,0,50,62,>50K
38,47,115076,22,14,9,10,11,5,6,0,0,70,7,>50K
23,12,115458,13,9,2,37,30,5,6,0,0,40,7,<=50K
40,12,347890,1,13,9,18,11,5,6,0,0,40,7,>50K
41,8,196001,13,9,9,25,19,5,20,0,0,20,7,<=50K
24,0,273905,31,12,9,49,11,5,6,0,0,50,7,<=50K
20,35,119156,27,10,2,35,30,5,6,0,0,20,7,<=50K
38,12,179488,27,10,14,34,4,5,6,0,1741,40,7,<=50K
56,12,203580,13,9,9,3,11,5,6,0,0,35,35,<=50K
58,12,236596,13,9,9,3,11,5,6,0,0,45,7,>50K
32,12,183916,13,9,2,25,4,5,20,0,0,34,7,<=50K
40,12,207578,31,12,9,46,11,5,6,0,1977,60,7,>50K
45,12,153141,13,9,9,3,11,5,6,0,0,40,35,<=50K
41,12,112763,53,15,9,18,19,5,20,0,0,40,7,>50K
42,12,390781,1,13,9,3,19,17,20,0,0,40,7,<=50K
59,47,171328,58,6,63,25,42,17,20,0,0,30,7,<=50K
19,47,27382,27,10,2,3,30,5,6,0,0,40,7,<=50K
58,12,259014,27,10,2,37,4,5,6,0,0,20,7,<=50K
42,8,303044,13,9,9,40,11,28,6,0,0,40,70,>50K
20,12,117789,13,9,2,25,30,5,20,0,0,40,7,<=50K
32,12,172579,13,9,44,25,4,5,20,0,0,30,7,<=50K
45,12,187666,33,11,63,10,4,5,20,0,0,45,7,<=50K
50,12,204518,36,4,14,34,4,5,6,0,0,40,7,<=50K
36,12,150042,1,13,14,18,30,5,20,0,0,40,7,<=50K
45,12,98092,13,9,9,32,11,5,6,0,0,60,7,<=50K
17,12,245918,16,7,2,25,30,5,6,0,0,12,7,<=50K
59,12,146013,27,10,9,32,11,5,6,4064,0,40,7,<=50K
26,12,378322,16,7,9,34,11,5,6,0,0,40,7,<=50K
37,55,257295,27,10,9,10,11,28,6,0,0,75,71,>50K
19,35,218956,27,10,2,35,30,5,6,0,0,24,60,<=50K
64,12,21174,13,9,9,10,11,5,6,0,0,40,7,>50K
33,12,185480,1,13,2,18,4,5,20,0,0,45,7,<=50K
33,12,222205,13,9,9,34,19,5,20,0,0,40,7,>50K
61,12,69867,13,9,9,10,11,5,6,0,0,40,7,>50K
17,12,191260,23,5,2,25,30,5,6,1055,0,24,7,<=50K
50,8,30653,22,14,9,40,11,5,6,2407,0,98,7,<=50K
27,47,209109,22,14,2,18,30,5,6,0,0,35,7,<=50K
30,12,70377,13,9,14,18,30,5,20,0,0,40,7,<=50K
43,12,477983,13,9,9,15,11,17,6,0,0,40,7,<=50K
44,12,170924,27,10,9,34,11,5,6,7298,0,40,7,>50K
35,12,190174,27,10,2,10,4,5,20,0,0,40,7,<=50K
25,12,193787,27,10,2,46,30,5,20,0,0,40,7,<=50K
24,12,279472,27,10,9,41,19,5,20,7298,0,48,7,>50K
22,12,34918,1,13,2,18,4,5,20,0,0,15,61,<=50K
42,47,97688,27,10,9,34,11,5,6,5178,0,40,7,>50K
34,12,175413,31,12,14,32,42,17,20,0,0,45,7,<=50K
60,12,173960,1,13,14,18,4,5,20,0,0,42,7,<=50K
21,12,205759,13,9,2,15,30,5,6,0,0,40,7,<=50K
57,45,425161,22,14,9,32,11,5,6,15024,0,40,7,>50K
41,12,220531,53,15,9,18,11,5,6,0,0,60,7,>50K
50,12,176609,27,10,14,25,4,5,6,0,0,45,7,<=50K
25,12,371987,1,13,2,10,4,5,20,0,0,40,7,<=50K
50,12,193884,36,4,9,34,11,5,6,0,0,40,72,<=50K
36,12,200352,1,13,9,18,11,5,6,0,0,45,7,<=50K
31,12,127595,13,9,14,18,4,5,20,0,0,40,7,<=50K
29,47,220419,1,13,2,49,4,5,6,0,0,56,7,<=50K
21,12,231931,27,10,2,32,30,5,6,0,0,45,7,<=50K
27,12,248402,1,13,2,46,42,17,20,0,0,40,7,<=50K
65,12,111095,13,9,9,37,11,5,6,0,0,16,7,<=50K
37,55,57424,1,13,14,32,4,5,20,0,0,60,7,<=50K
39,35,157443,22,14,9,35,19,28,20,3464,0,40,35,<=50K
24,12,278130,13,9,2,34,30,5,6,0,0,40,7,<=50K
38,12,169469,13,9,14,32,4,5,6,0,0,80,7,<=50K
48,12,146268,1,13,9,3,11,5,6,7688,0,40,7,>50K
21,12,153718,27,10,2,25,4,28,20,0,0,25,7,<=50K
31,12,217460,13,9,9,37,11,5,6,0,0,45,7,>50K
55,12,238638,13,9,9,32,11,5,6,4386,0,40,7,>50K
24,12,303296,27,10,9,3,19,28,20,0,0,40,73,<=50K
43,12,173321,13,9,14,3,4,5,20,0,0,40,7,<=50K
26,12,193945,31,12,2,46,4,5,6,0,0,45,7,<=50K
46,12,83082,31,12,2,18,4,5,20,0,0,33,7,<=50K
35,12,193815,31,12,9,3,11,5,6,0,0,40,7,>50K
41,55,34987,27,10,9,40,11,5,6,0,0,54,7,>50K
26,12,59306,1,13,2,32,4,5,6,0,0,40,7,<=50K
34,12,142897,22,14,9,10,11,28,6,7298,0,35,74,>50K
19,35,860348,27,10,2,35,30,17,20,0,0,25,7,<=50K
36,8,205607,1,13,14,18,4,17,20,0,0,40,7,>50K
22,12,199698,27,10,2,32,30,5,6,0,0,15,7,<=50K
24,12,191954,27,10,2,41,4,5,6,0,0,40,7,<=50K
77,8,138714,27,10,9,32,11,5,6,0,0,40,7,<=50K
22,12,399087,56,3,9,41,57,5,20,0,0,40,39,<=50K
29,12,423158,27,10,2,46,4,5,20,0,0,40,7,<=50K
62,12,159841,13,9,63,25,4,5,20,0,0,24,7,<=50K
39,8,174308,13,9,9,10,11,5,6,0,0,40,7,<=50K
43,12,50356,27,10,9,34,11,5,6,0,1485,50,7,<=50K
35,12,186110,13,9,14,37,4,5,6,0,0,45,7,<=50K
29,12,200381,16,7,2,10,4,5,20,0,0,40,7,<=50K
76,8,174309,22,14,9,34,11,5,6,0,0,10,7,<=50K
63,8,78383,13,9,9,40,11,5,6,0,0,45,7,<=50K
23,35,211601,33,11,2,35,30,17,20,0,0,15,7,<=50K
43,12,187728,27,10,9,18,19,5,20,0,1887,50,7,>50K
58,8,321171,13,9,9,15,11,5,6,0,0,40,7,<=50K
66,12,127921,13,9,2,37,4,5,6,2050,0,55,7,<=50K
41,12,206565,27,10,2,34,4,17,6,0,0,45,7,<=50K
26,12,224563,1,13,2,3,4,5,6,0,0,40,7,<=50K
47,12,178686,33,11,2,25,4,5,6,0,0,40,7,<=50K
55,47,98545,58,6,9,3,11,5,6,0,0,40,7,<=50K
53,12,242606,13,9,9,37,11,5,6,0,0,40,7,<=50K
17,12,270942,56,3,2,25,57,5,6,0,0,48,39,<=50K
30,12,94235,13,9,2,34,57,5,6,0,0,40,7,<=50K
49,12,71195,22,14,2,18,4,5,6,0,0,60,7,<=50K
19,12,104112,13,9,2,32,42,17,6,0,0,30,75,<=50K
45,12,261192,13,9,9,25,11,17,6,0,0,40,7,<=50K
26,12,94936,31,12,2,32,4,5,6,0,0,40,7,<=50K
38,12,296478,33,11,9,34,11,5,6,7298,0,40,7,>50K
36,0,119272,13,9,9,49,11,5,6,7298,0,40,7,>50K
33,12,85043,13,9,2,40,4,5,6,0,0,20,7,<=50K
22,0,293364,27,10,2,49,30,17,20,0,0,40,7,<=50K
43,8,241895,1,13,2,32,4,5,6,0,0,42,7,<=50K
67,35,36135,16,7,9,35,11,5,6,0,0,8,7,<=50K
30,35,151989,33,11,14,35,42,5,20,0,0,40,7,<=50K
56,12,101128,31,12,24,25,4,5,6,0,0,25,62,<=50K
31,12,156464,1,13,2,18,30,5,6,0,0,25,7,<=50K
33,12,117963,1,13,9,10,11,5,6,0,0,40,7,>50K
26,12,192262,13,9,9,25,11,5,6,0,0,40,7,<=50K
33,12,111363,1,13,9,10,11,5,6,0,0,40,7,>50K
46,47,329752,16,7,9,37,11,5,6,0,0,30,7,<=50K
59,35,372020,1,13,9,35,11,5,6,0,0,40,7,>50K
38,45,95432,13,9,9,3,11,5,6,0,0,40,7,>50K
65,12,161400,16,7,63,25,42,52,6,0,0,40,7,<=50K
40,12,96129,33,11,9,46,11,5,6,0,0,40,7,>50K
42,12,111949,13,9,9,3,19,5,20,0,0,35,7,<=50K
26,8,117125,23,5,9,34,11,5,6,0,0,40,76,<=50K
36,12,348022,58,6,9,25,19,5,20,0,0,24,7,<=50K
62,12,270092,22,14,9,18,11,5,6,0,0,40,7,>50K
43,12,180609,1,13,9,37,11,5,6,0,0,45,7,<=50K
43,12,174575,1,13,14,10,4,5,6,0,1564,45,7,>50K
22,12,410439,13,9,24,32,4,5,6,0,0,55,7,<=50K
28,12,92262,13,9,9,34,11,5,6,0,0,40,7,<=50K
56,8,183081,27,10,9,32,11,5,6,0,0,45,7,<=50K
22,12,362589,31,12,2,32,4,5,20,0,0,15,7,<=50K
57,12,212448,1,13,14,10,4,5,20,0,0,45,7,>50K
39,12,481060,13,9,14,32,42,5,20,0,0,40,7,<=50K
26,45,185885,27,10,2,3,42,5,20,0,0,15,7,<=50K
17,12,89821,16,7,2,25,30,5,6,0,0,10,7,<=50K
40,0,184018,33,11,9,41,11,5,6,0,0,38,7,>50K
45,12,256649,13,9,9,41,11,17,6,0,0,40,7,<=50K
44,12,160323,13,9,2,34,4,17,6,0,0,40,7,<=50K
20,47,350845,27,10,2,3,30,5,20,0,0,10,7,<=50K
33,12,267404,13,9,9,34,19,5,20,0,0,40,7,<=50K
23,12,35633,27,10,2,32,4,5,6,0,0,40,7,<=50K
46,8,80914,22,14,14,10,4,5,6,0,0,30,7,<=50K
38,12,172927,13,9,9,32,11,5,6,0,0,50,7,<=50K
54,12,174319,13,9,14,37,4,5,6,0,0,40,7,<=50K
46,12,214955,56,3,14,34,4,5,20,0,2339,45,7,<=50K
25,12,344991,27,10,9,34,11,5,6,0,0,40,7,<=50K
46,12,108699,27,10,14,32,4,5,20,0,0,40,7,<=50K
36,47,117312,27,10,9,37,19,5,20,0,0,40,7,<=50K
23,12,396099,13,9,2,25,4,5,20,0,0,25,7,<=50K
29,12,134152,13,9,44,41,4,5,6,0,0,40,7,<=50K
44,12,162028,27,10,9,3,19,5,20,0,2415,6,7,>50K
19,12,25429,27,10,2,3,30,5,20,0,0,16,7,<=50K
19,12,232392,13,9,2,25,57,5,20,0,0,40,7,<=50K
35,12,220098,13,9,9,25,19,5,20,0,0,40,7,>50K
27,12,301302,1,13,2,34,4,5,6,0,0,50,7,<=50K
46,8,277946,31,12,44,34,4,5,6,0,0,40,7,<=50K
34,0,98101,1,13,9,10,11,5,6,7688,0,45,35,>50K
34,12,196164,13,9,2,25,4,5,20,0,0,35,7,<=50K
44,12,115562,27,10,9,46,11,5,6,0,0,40,7,<=50K
45,12,96975,27,10,14,15,42,5,20,0,0,40,7,<=50K
20,35,137300,13,9,2,35,57,5,20,0,0,35,7,<=50K
25,12,86872,1,13,9,10,11,5,6,0,0,55,7,>50K
52,55,132178,1,13,9,10,11,5,6,0,0,50,7,>50K
20,12,416103,27,10,2,15,30,5,6,0,0,40,7,<=50K
28,12,108574,27,10,2,25,4,5,20,0,0,40,7,<=50K
50,0,288353,1,13,9,49,11,5,6,0,0,40,7,>50K
34,12,227689,33,11,14,46,4,5,20,0,0,64,7,<=50K
28,12,166481,36,4,9,15,11,52,6,0,2179,40,50,<=50K
41,12,445382,22,14,9,10,11,5,6,0,1977,65,7,>50K
28,12,110145,13,9,9,3,11,5,6,0,0,40,7,<=50K
46,8,317253,13,9,9,34,11,5,6,0,0,25,7,<=50K
28,35,123147,27,10,9,35,19,5,20,0,1887,40,7,>50K
